CaseMasterID,CrimeNo,CaseCategoryName,CaseStatusName,PoliceStationUnitID,DistrictName,StateName,InvestigatingOfficerID,RegistrationDate,InfoReceivedPSDate,CrimeHeadName,CrimeSubHeadName,CrimeCategoryGroup,GravityOffenceName,BriefFacts,IncidentUnitID,IncidentDistrictName,latitude,longitude,LocationTypeArchetype,IsHotspotUnitFlag,AccusedHomeUnitDistance,IncidentFromDate,IncidentToDate,IncidentHourOfDay,IncidentDayOfWeek,IsFestivalOrEventWindow,ReportingDelayHours,CaseAgeDays,PrimaryAccusedID,PrimaryAccusedAgeBand,PrimaryAccusedGender,NumberOfAccused,CoAccusedIDList,IsRepeatAccusedFlag,ArrestStatus,ArrestDelayDays,PrimaryVictimAgeBand,PrimaryVictimGender,NumberOfVictims,VictimAccusedRelationship,IsRepeatVictimFlag,VictimPoliceFlag,NumberOfEvidenceItems,EvidenceTypesList,NumberOfVehiclesInvolved,ActsInvokedList,SectionsInvokedList,NumberOfSectionsInvoked,ChargesheetOutcome,ChargesheetFilingDelayDays,InvestigatingOfficerRank,CourtID,CourtName,InvestigationDurationDays,OfficerActiveCaseLoad,OfficerHistoricalFalseCaseRate,HiddenCriminalProfileID,HiddenGangID,HiddenClusterID,HiddenMOGroup,HiddenBridgeNodeFlag,HiddenEscalationCurveLabel,IsRepeatOffenderGroundTruth,RiskLabel,AnomalyLabel
11,100020011202200001,FIR,Pending Trial,11,Ballari,Karnataka,31,2022-11-20,2022-11-19 00:13:15,Cyber Crime,Social Media Impersonation,Cyber-Financial,Non-Heinous,The accused created a fake account of the victim and posted offensive material to ruin their reputation. The incident took place in a cyber-agnostic at 16:00 hours on Friday. A group of 2 individuals was involved in the offense. Forensic search and examination revealed Bank Transaction Statement and Call Detail Record at the scene.,11,Ballari,15.159442,76.875201,Cyber-Agnostic,False,Unknown/One-Time,2022-11-18 16:36:15,2022-11-18 22:48:15,16,Friday,False,7.616666666666666,1333,1091.0,51-65,M,2,1091;1092,False,,,18-25,F,1,Known,False,False,2,Bank Transaction Statement;Call Detail Record,0,,,,Not Yet Disposed,,Inspector,,,1333,13,0.0,,,SOLO_11,45_Cyber-Agnostic_2,,,False,Low,Normal
12,400160103202500001,PAR,Under Investigation,103,Haveri,Karnataka,307,2025-07-01,2025-06-24 15:34:23,Economic Offences,Cheating and Financial Fraud,Cyber-Financial,Non-Heinous,The offense occurred near a market around 12:00 hours on Monday. The accused created a fake government website to collect application fees from job aspirants. Key evidence collected includes Forged Document and Seized Financial Record. Investigation indicates the involvement of a single perpetrator.,103,Haveri,14.791599,75.396612,Market,True,Unknown/One-Time,2025-06-23 12:24:23,2025-06-23 14:38:23,12,Monday,False,27.166666666666668,379,4510.0,26-35,M,1,4510,True,,,36-50,F,1,Stranger,True,False,2,Forged Document;Seized Financial Record,0,,,,Not Yet Disposed,,Sub-Inspector,,,379,15,0.0,,,SOLO_12,34_Market_2,,,False,Low,Normal
13,100040027202600001,FIR,Charge Sheeted,27,Bengaluru Rural,Karnataka,81,2026-09-23,2026-09-19 23:34:45,Economic Offences,Money Laundering,Cyber-Financial,Non-Heinous,A single individual executed the crime. The accused used online gaming platforms and crypto transactions to wash illegal funds. The incident was reported from a general/public place at 15:00 hours on Saturday. Investigators recovered Seized Financial Record from the location.,27,Bengaluru Rural,13.28227,77.597207,General/Public Place,False,Unknown/One-Time,2026-09-19 15:04:45,2026-09-19 21:46:45,15,Saturday,False,8.5,-70,6164.0,36-50,M,1,6164,False,,,51-65,M,1,Known,False,False,1,Seized Financial Record,0,,,,Charge-Sheeted,,Inspector,,,-70,11,0.0909090909090909,,,SOLO_13,38_General/Public Place_2,,,False,Medium,Normal
14,100070050202200001,FIR,Closed - False Case,50,Chamarajanagar,Karnataka,149,2022-08-09,2022-08-04 17:13:47,Special and Local Laws Offences,Excise Act Violations,Narcotics,Non-Heinous,The accused was found selling illicit liquor manufactured in a local forest area. The event transpired at a general/public place around 09:00 hours on Thursday.,50,Chamarajanagar,11.954765,76.967985,General/Public Place,False,inter-district,2022-08-04 09:25:47,2022-08-04 13:15:47,9,Thursday,False,7.8,1436,727.0,36-50,M,1,727,True,,,,,0,,False,False,3,Panchnama Report;Seized Contraband;Seizure Photograph,1,,,,False Case,,Assistant Sub-Inspector,,,1436,7,0.2857142857142857,CP00154,GNG0004,GNG0004,67_General/Public Place_1,,,True,Medium,Normal
15,100160108202300001,FIR,Disposed - Convicted,108,Haveri,Karnataka,324,2023-08-14,2023-08-09 23:59:46,Economic Offences,Cheating and Financial Fraud,Cyber-Financial,Non-Heinous,The accused submitted forged salary slips and identity cards to obtain a home loan from the bank. The incident took place in a market at 05:00 hours on Wednesday. A group of 4 individuals was involved in the offense.,108,Haveri,14.757965,75.360869,Market,False,Unknown/One-Time,2023-08-09 05:02:46,2023-08-09 12:32:46,5,Wednesday,False,18.95,1066,2040.0,36-50,M,4,2040;2041;2042;2043,False,,,36-50,F,1,Stranger,False,False,0,,0,,,,Charge-Sheeted,,Inspector,,,1066,20,0.1,,,SOLO_15,34_Market_0,,,False,Medium,Normal
16,400250159202500001,PAR,Closed - Undetected,159,Shivamogga,Karnataka,475,2025-10-02,2025-09-30 16:53:23,Crimes Against Senior Citizens,Elder Abuse,Violent,Heinous,The suspect subjected her elderly mother-in-law to continuous mental harassment and physical abuse. The offense occurred near a residential around 10:00 hours on Tuesday. Investigation indicates the involvement of a single perpetrator. Forensic search and examination revealed CCTV Footage and Medical Examination Report at the scene.,159,Shivamogga,13.962368,75.578985,Residential,False,local,2025-09-30 10:41:23,2025-09-30 13:51:23,10,Tuesday,True,6.2,286,4845.0,36-50,M,1,4845,True,,,65+,F,1,Known,False,False,2,CCTV Footage;Medical Examination Report,0,,,,Undetected,,Assistant Sub-Inspector,,,286,24,0.0416666666666666,CP00080,,CP00080,59_Residential_1,,,True,Severe,Normal
17,100170113202300001,FIR,Closed - Undetected,113,Kalaburagi,Karnataka,337,2023-02-24,2023-02-16 14:14:35,Crimes Against State,Terrorism-Related Offences,Public-Order,Non-Heinous,The incident was reported from a general/public place at 10:00 hours on Thursday. The accused conspired to launch serial blasts and recruited youths through closed chat groups. Key evidence collected includes Seized Document. A gang of 2 co-accused was implicated in this incident.,113,Kalaburagi,17.314641,76.874868,General/Public Place,False,Unknown/One-Time,2023-02-16 10:58:35,2023-02-16 12:03:35,10,Thursday,False,3.2666666666666666,1237,1426.0,65+,M,2,1426;1427,True,,,,,0,,False,False,1,Seized Document,0,,,,Undetected,,Assistant Sub-Inspector,,,1237,6,0.1666666666666666,CP00073,,CP00073,52_General/Public Place_1,,,True,Medium,Normal
18,100040027202600002,FIR,Under Investigation,27,Bengaluru Rural,Karnataka,80,2026-10-31,2026-10-24 11:36:34,Crimes Against Property,Extortion,Property,Non-Heinous,"The suspects intercepted the complainant's truck and forced them to pay cash to pass through the route. The event transpired at a market around 19:00 hours on Friday. Investigators recovered Recovered Stolen Property, Scene Photograph and Tool Mark Analysis from the location.",27,Bengaluru Rural,13.200933,77.600103,Market,False,Unknown/One-Time,2026-10-23 19:35:34,2026-10-23 22:08:34,19,Friday,False,16.016666666666666,-108,,,,0,,False,,,26-35,M,1,Known,False,False,3,Recovered Stolen Property;Scene Photograph;Tool Mark Analysis,0,,,,Not Yet Disposed,,Inspector,,,-108,17,0.1176470588235294,,,SOLO_18,16_Market_3,,,,Low,Normal
19,100250156202300001,FIR,Closed - Undetected,156,Shivamogga,Karnataka,466,2023-10-18,2023-10-16 17:35:45,Crimes Against Children,Kidnapping of Minors,Violent,Non-Heinous,The suspect kidnapped the minor from outside the tuition centre and demanded ransom. Evidence seized during the initial probe includes DNA Swab. The incident took place in a general/public place at 10:00 hours on Monday.,156,Shivamogga,13.937272,75.579881,General/Public Place,False,Unknown/One-Time,2023-10-16 10:25:45,2023-10-16 16:38:45,10,Monday,False,7.166666666666667,1001,,,,0,,False,,,Minor (<18),F,1,Stranger,False,False,1,DNA Swab,0,,,,Undetected,,Sub-Inspector,,,1001,4,0.0,,,SOLO_19,27_General/Public Place_1,,,,Low,Normal
20,100140092202400001,FIR,Charge Sheeted,92,Gadag,Karnataka,275,2024-08-25,2024-08-22 19:22:03,Crimes Against State,Terrorism-Related Offences,Public-Order,Non-Heinous,"Police later collected Digital Communication Record, Seized Document and Surveillance Report as part of the case file. The accused conspired to launch serial blasts and recruited youths through closed chat groups. The offense occurred near a general/public place around 10:00 hours on Thursday. The offense was carried out by 2 suspects acting together.",92,Gadag,15.397361,75.662673,General/Public Place,True,local,2024-08-22 10:55:03,2024-08-22 18:05:03,10,Thursday,False,8.45,689,3438.0,51-65,M,2,3438;3439,True,,,51-65,M,1,Stranger,False,False,3,Digital Communication Record;Seized Document;Surveillance Report,0,,,,Charge-Sheeted,,Sub-Inspector,,,689,14,0.0714285714285714,CP00079,,CP00079,52_General/Public Place_1,,,True,High,Normal
21,100260167202200001,FIR,Pending Trial,167,Tumakuru,Karnataka,499,2022-04-18,2022-04-15 16:59:09,Crimes Against Public Order,Unlawful Assembly,Public-Order,Non-Heinous,"The suspects assembled near the government office, refusing to disperse despite police orders. The incident was reported from a general/public place at 09:00 hours on Friday. A gang of 3 co-accused was implicated in this incident.",167,Tumakuru,13.35539,77.042146,General/Public Place,True,Unknown/One-Time,2022-04-15 09:37:09,2022-04-15 11:09:09,9,Friday,False,7.366666666666666,1549,359.0,51-65,M,3,359;360;361,False,,,26-35,F,1,Stranger,False,False,2,Scene Photograph;Video Recording,0,,,,Not Yet Disposed,,Sub-Inspector,,,1549,10,0.0,,,SOLO_21,30_General/Public Place_1,,,False,Low,Normal
22,100200128202600001,FIR,Under Investigation,128,Koppal,Karnataka,382,2026-07-11,2026-07-07 18:49:43,Special and Local Laws Offences,Prohibition Act Violations,Narcotics,Heinous,The event transpired at a general/public place around 12:00 hours on Tuesday. The police raided a field and destroyed raw materials used by the accused to brew illicit alcohol. Key evidence collected includes Panchnama Report and Seized Contraband. The crime was committed by a single offender.,128,Koppal,15.32503,76.099545,General/Public Place,False,Unknown/One-Time,2026-07-07 12:51:43,2026-07-07 16:23:43,12,Tuesday,False,5.966666666666667,4,5953.0,51-65,F,1,5953,False,,,,,0,,False,False,2,Panchnama Report;Seized Contraband,0,,,,Not Yet Disposed,,Inspector,,,4,4,0.5,,,SOLO_22,69_General/Public Place_2,,,False,Medium,Officer-Level Anomaly
23,100090062202600001,FIR,Under Investigation,62,Chikkamagaluru,Karnataka,185,2026-02-12,2026-02-11 22:23:07,Miscellaneous IPC Offences,Trespass,Property,Non-Heinous,"A lone suspect was involved in carrying out this offense. The accused entered the complainant's office premises and created a ruckus, refusing to leave. The incident took place in a general/public place at 16:00 hours on Wednesday. Investigators recovered Scene Photograph, Seized Property List and Witness Statement Record from the location.",62,Chikkamagaluru,13.298653,75.765681,General/Public Place,True,Unknown/One-Time,2026-02-11 16:29:07,2026-02-11 18:50:07,16,Wednesday,False,5.9,153,5321.0,51-65,M,1,5321,False,,,65+,M,1,Stranger,False,False,3,Scene Photograph;Seized Property List;Witness Statement Record,0,,,,Not Yet Disposed,,Circle Inspector,,,153,20,0.2,,,SOLO_23,64_General/Public Place_2,,,False,Low,Normal
24,100290183202600001,FIR,Under Investigation,183,Vijayapura,Karnataka,549,2026-06-29,2026-06-22 19:13:32,Miscellaneous IPC Offences,Trespass,Property,Heinous,"The accused entered the complainant's office premises and created a ruckus, refusing to leave. Evidence seized during the initial probe includes Seized Property List and Witness Statement Record. The offense occurred near a general/public place around 12:00 hours on Monday.",183,Vijayapura,16.836499,75.693334,General/Public Place,True,Unknown/One-Time,2026-06-22 12:25:32,2026-06-22 16:24:32,12,Monday,False,6.8,16,5873.0,65+,M,1,5873,False,,,36-50,F,1,Stranger,False,False,2,Seized Property List;Witness Statement Record,0,,,,Not Yet Disposed,,Sub-Inspector,,,16,16,0.125,,,SOLO_24,64_General/Public Place_2,,,False,Medium,Normal
25,100130085202400001,FIR,Pending Trial,85,Dharwad,Karnataka,255,2024-07-07,2024-07-02 00:37:28,Crimes Against Public Order,Affray,Public-Order,Non-Heinous,"Police later collected CCTV Footage and Seized Weapon/Object as part of the case file. A group of youths engaged in a physical fight on the street, causing residents to shut their doors. The incident was reported from a general/public place at 13:00 hours on Monday. A single individual executed the crime.",85,Dharwad,15.463163,75.048307,General/Public Place,True,inter-district,2024-07-01 13:32:28,2024-07-01 20:08:28,13,Monday,False,11.083333333333334,738,3274.0,Minor (<18),M,1,3274,True,,,36-50,F,1,Stranger,False,False,2,CCTV Footage;Seized Weapon/Object,0,,,,Not Yet Disposed,,Inspector,,,738,28,0.0,CP00061,,CP00061,31_General/Public Place_2,,,True,Medium,Normal
26,100170110202400001,FIR,Pending Trial,110,Kalaburagi,Karnataka,328,2024-01-05,2023-12-29 00:59:38,Economic Offences,Criminal Breach of Trust,Cyber-Financial,Non-Heinous,"The accused, entrusted with the complainant's luxury vehicle for rental services, sold it to a third party. The event transpired at a general/public place around 13:00 hours on Thursday. The crime was committed by a group of 3 co-offenders. Forensic search and examination revealed Digital Ledger and Forged Document at the scene.",110,Kalaburagi,17.30667,76.820602,General/Public Place,False,Unknown/One-Time,2023-12-28 13:09:38,2023-12-28 20:51:38,13,Thursday,True,11.833333333333334,922,2597.0,51-65,M,3,2597;2598;2599,True,,,26-35,M,2,Known,False,False,2,Digital Ledger;Forged Document,0,,,,Not Yet Disposed,,Sub-Inspector,,,922,4,0.25,CP00104,GNG0008,GNG0008,35_General/Public Place_2,,,True,Medium,Normal
27,100150100202500001,FIR,Pending Trial,100,Hassan,Karnataka,300,2025-05-22,2025-05-16 21:07:57,Crimes Against State,Waging War Against the State,Public-Order,Heinous,"The incident took place in a general/public place at 09:00 hours on Friday. The accused was caught attempting to recruit local youths into an armed rebel group to overthrow the local administration. Key evidence collected includes Digital Communication Record, Seized Document and Surveillance Report.",100,Hassan,12.981779,76.12523,General/Public Place,False,Unknown/One-Time,2025-05-16 09:50:57,2025-05-16 16:06:57,9,Friday,False,11.283333333333331,419,,,,0,,False,,,,,0,,False,False,5,Digital Communication Record;Seized Document;Surveillance Report,0,,,,Not Yet Disposed,,Circle Inspector,,,419,4,0.25,,,SOLO_27,53_General/Public Place_1,,,,Medium,Normal
28,100050036202200001,FIR,Closed - Undetected,36,Bengaluru Urban,Karnataka,108,2022-09-02,2022-08-30 22:35:20,Crimes Against Senior Citizens,Neglect of Senior Citizens,Violent,Non-Heinous,"The accused refused to provide food and basic medicine to their dependent parents, causing severe deterioration. The offense occurred near a residential around 17:00 hours on Tuesday.",36,Bengaluru Urban,12.990526,77.603756,Residential,False,Unknown/One-Time,2022-08-30 17:28:20,2022-08-30 21:07:20,17,Tuesday,True,5.116666666666666,1412,,,,0,,False,,,65+,M,1,Known,False,False,4,Bank Statement;CCTV Footage;Medical Examination Report;Witness Statement Record,0,,,,Undetected,,Inspector,,,1412,6,0.0,,,SOLO_28,61_Residential_2,,,,Low,Normal
29,100220139202400001,FIR,Pending Trial,139,Mysuru,Karnataka,417,2024-05-31,2024-05-26 19:33:34,Crimes Against State,Unlawful Activities,Public-Order,Non-Heinous,The accused organized a clandestine group in the forest outskirts to print and distribute leaflets calling for a boycott of public institutions. Evidence seized during the initial probe includes Surveillance Report. The incident was reported from a general/public place at 10:00 hours on Sunday.,139,Mysuru,12.281538,76.631329,General/Public Place,False,Unknown/One-Time,2024-05-26 10:21:34,2024-05-26 13:27:34,10,Sunday,False,9.2,775,,,,0,,False,,,,,0,,False,False,1,Surveillance Report,0,,,,Not Yet Disposed,,Sub-Inspector,,,775,8,0.0,,,SOLO_29,51_General/Public Place_1,,,,Low,Normal
30,100170110202500001,FIR,Disposed - Convicted,110,Kalaburagi,Karnataka,329,2025-06-16,2025-06-11 16:54:43,Crimes Against Children,Child Trafficking,Violent,Non-Heinous,"Police later collected CCTV Footage, DNA Swab and Guardian Statement Record as part of the case file. The suspects ran a racket procuring children from poor families and selling them to childless couples. The event transpired at a border-transit around 13:00 hours on Tuesday. The crime was committed by a single offender.",110,Kalaburagi,17.30462,76.814024,Border-Transit,False,Unknown/One-Time,2025-06-10 13:36:43,2025-06-10 18:19:43,13,Tuesday,False,27.3,394,4423.0,36-50,M,1,4423,False,,,Minor (<18),F,1,Stranger,False,False,3,CCTV Footage;DNA Swab;Guardian Statement Record,0,,,,Charge-Sheeted,,Assistant Sub-Inspector,,,394,3,0.0,,,SOLO_30,26_Border-Transit_2,,,False,Medium,Normal
31,100100069202600001,FIR,Charge Sheeted,69,Chitradurga,Karnataka,205,2026-04-18,2026-04-13 16:58:37,Narcotic Drugs and Psychotropic Substances Offences,Cultivation of Narcotic Plants,Narcotics,Heinous,The suspect cultivated poppy plants on forest land bordering his agricultural property. The incident took place in a general/public place at 12:00 hours on Monday. A group of 3 individuals was involved in the offense. Forensic search and examination revealed Seized Narcotic Substance and Seizure Photograph at the scene.,69,Chitradurga,14.254798,76.408762,General/Public Place,True,Unknown/One-Time,2026-04-13 12:47:37,2026-04-13 14:54:37,12,Monday,False,4.183333333333334,88,5620.0,26-35,M,3,5620;5621;5622,False,,,,,0,,False,False,2,Seized Narcotic Substance;Seizure Photograph,0,,,,Charge-Sheeted,,Circle Inspector,,,88,19,0.0,,,SOLO_31,48_General/Public Place_2,,,False,High,Normal
32,100030020202600001,FIR,Closed - Undetected,20,Belagavi,Karnataka,60,2026-05-30,2026-05-22 20:58:18,Special and Local Laws Offences,Excise Act Violations,Narcotics,Non-Heinous,The offense occurred near a general/public place around 15:00 hours on Friday. The suspects were intercepted transporting bulk quantities of cheap liquor from the neighboring state. Key evidence collected includes Panchnama Report. The offense was carried out by 2 suspects acting together.,20,Belagavi,15.859547,74.455181,General/Public Place,False,local,2026-05-22 15:48:18,2026-05-22 18:37:18,15,Friday,False,5.166666666666667,46,5761.0,26-35,M,2,5761;5762,False,,,,,0,,False,False,1,Panchnama Report,1,,,,Undetected,,Inspector,,,46,7,0.1428571428571428,CP00013,,CP00013,67_General/Public Place_2,,,False,Low,Normal
