CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
11,100020011202200001,202200001,2022-11-20,2738,11,1,2,7,45,5,22,2022-11-18 16:36:15,2022-11-18 22:48:15,2022-11-19 00:13:15,15.159442,76.875201,The accused created a fake account of the victim and posted offensive material to ruin their reputation. The incident took place in a cyber-agnostic at 16:00 hours on Friday. A group of 2 individuals was involved in the offense. Forensic search and examination revealed Bank Transaction Statement and Call Detail Record at the scene.
12,400160103202500001,202500001,2025-07-01,3161,103,3,2,6,34,1,86,2025-06-23 12:24:23,2025-06-23 14:38:23,2025-06-24 15:34:23,14.791599,75.396612,The offense occurred near a market around 12:00 hours on Monday. The accused created a fake government website to collect application fees from job aspirants. Key evidence collected includes Forged Document and Seized Financial Record. Investigation indicates the involvement of a single perpetrator.
13,100040027202600001,202600001,2026-09-23,2225,27,1,2,6,38,2,122,2026-09-19 15:04:45,2026-09-19 21:46:45,2026-09-19 23:34:45,13.28227,77.597207,A single individual executed the crime. The accused used online gaming platforms and crypto transactions to wash illegal funds. The incident was reported from a general/public place at 15:00 hours on Saturday. Investigators recovered Seized Financial Record from the location.
14,100070050202200001,202200001,2022-08-09,2468,50,1,2,13,67,4,47,2022-08-04 09:25:47,2022-08-04 13:15:47,2022-08-04 17:13:47,11.954765,76.967985,The accused was found selling illicit liquor manufactured in a local forest area. The event transpired at a general/public place around 09:00 hours on Thursday.
15,100160108202300001,202300001,2023-08-14,1489,108,1,2,6,34,6,132,2023-08-09 05:02:46,2023-08-09 12:32:46,2023-08-09 23:59:46,14.757965,75.360869,The accused submitted forged salary slips and identity cards to obtain a home loan from the bank. The incident took place in a market at 05:00 hours on Wednesday. A group of 4 individuals was involved in the offense.
16,400250159202500001,202500001,2025-10-02,1819,159,3,1,11,59,3,20,2025-09-30 10:41:23,2025-09-30 13:51:23,2025-09-30 16:53:23,13.962368,75.578985,The suspect subjected her elderly mother-in-law to continuous mental harassment and physical abuse. The offense occurred near a residential around 10:00 hours on Tuesday. Investigation indicates the involvement of a single perpetrator. Forensic search and examination revealed CCTV Footage and Medical Examination Report at the scene.
17,100170113202300001,202300001,2023-02-24,820,113,1,2,9,52,3,32,2023-02-16 10:58:35,2023-02-16 12:03:35,2023-02-16 14:14:35,17.314641,76.874868,The incident was reported from a general/public place at 10:00 hours on Thursday. The accused conspired to launch serial blasts and recruited youths through closed chat groups. Key evidence collected includes Seized Document. A gang of 2 co-accused was implicated in this incident.
18,100040027202600002,202600002,2026-10-31,498,27,1,2,2,16,1,52,2026-10-23 19:35:34,2026-10-23 22:08:34,2026-10-24 11:36:34,13.200933,77.600103,"The suspects intercepted the complainant's truck and forced them to pay cash to pass through the route. The event transpired at a market around 19:00 hours on Friday. Investigators recovered Recovered Stolen Property, Scene Photograph and Tool Mark Analysis from the location."
19,100250156202300001,202300001,2023-10-18,304,156,1,2,4,27,3,116,2023-10-16 10:25:45,2023-10-16 16:38:45,2023-10-16 17:35:45,13.937272,75.579881,The suspect kidnapped the minor from outside the tuition centre and demanded ransom. Evidence seized during the initial probe includes DNA Swab. The incident took place in a general/public place at 10:00 hours on Monday.
20,100140092202400001,202400001,2024-08-25,2126,92,1,2,9,52,2,73,2024-08-22 10:55:03,2024-08-22 18:05:03,2024-08-22 19:22:03,15.397361,75.662673,"Police later collected Digital Communication Record, Seized Document and Surveillance Report as part of the case file. The accused conspired to launch serial blasts and recruited youths through closed chat groups. The offense occurred near a general/public place around 10:00 hours on Thursday. The offense was carried out by 2 suspects acting together."
21,100260167202200001,202200001,2022-04-18,187,167,1,2,5,30,5,68,2022-04-15 09:37:09,2022-04-15 11:09:09,2022-04-15 16:59:09,13.35539,77.042146,"The suspects assembled near the government office, refusing to disperse despite police orders. The incident was reported from a general/public place at 09:00 hours on Friday. A gang of 3 co-accused was implicated in this incident."
22,100200128202600001,202600001,2026-07-11,1394,128,1,1,13,69,1,37,2026-07-07 12:51:43,2026-07-07 16:23:43,2026-07-07 18:49:43,15.32503,76.099545,The event transpired at a general/public place around 12:00 hours on Tuesday. The police raided a field and destroyed raw materials used by the accused to brew illicit alcohol. Key evidence collected includes Panchnama Report and Seized Contraband. The crime was committed by a single offender.
23,100090062202600001,202600001,2026-02-12,655,62,1,2,12,64,1,84,2026-02-11 16:29:07,2026-02-11 18:50:07,2026-02-11 22:23:07,13.298653,75.765681,"A lone suspect was involved in carrying out this offense. The accused entered the complainant's office premises and created a ruckus, refusing to leave. The incident took place in a general/public place at 16:00 hours on Wednesday. Investigators recovered Scene Photograph, Seized Property List and Witness Statement Record from the location."
24,100290183202600001,202600001,2026-06-29,34,183,1,1,12,64,1,28,2026-06-22 12:25:32,2026-06-22 16:24:32,2026-06-22 19:13:32,16.836499,75.693334,"The accused entered the complainant's office premises and created a ruckus, refusing to leave. Evidence seized during the initial probe includes Seized Property List and Witness Statement Record. The offense occurred near a general/public place around 12:00 hours on Monday."
25,100130085202400001,202400001,2024-07-07,1529,85,1,2,5,31,5,87,2024-07-01 13:32:28,2024-07-01 20:08:28,2024-07-02 00:37:28,15.463163,75.048307,"Police later collected CCTV Footage and Seized Weapon/Object as part of the case file. A group of youths engaged in a physical fight on the street, causing residents to shut their doors. The incident was reported from a general/public place at 13:00 hours on Monday. A single individual executed the crime."
26,100170110202400001,202400001,2024-01-05,1226,110,1,2,6,35,5,87,2023-12-28 13:09:38,2023-12-28 20:51:38,2023-12-29 00:59:38,17.30667,76.820602,"The accused, entrusted with the complainant's luxury vehicle for rental services, sold it to a third party. The event transpired at a general/public place around 13:00 hours on Thursday. The crime was committed by a group of 3 co-offenders. Forensic search and examination revealed Digital Ledger and Forged Document at the scene."
27,100150100202500001,202500001,2025-05-22,2391,100,1,1,9,53,5,123,2025-05-16 09:50:57,2025-05-16 16:06:57,2025-05-16 21:07:57,12.981779,76.12523,"The incident took place in a general/public place at 09:00 hours on Friday. The accused was caught attempting to recruit local youths into an armed rebel group to overthrow the local administration. Key evidence collected includes Digital Communication Record, Seized Document and Surveillance Report."
28,100050036202200001,202200001,2022-09-02,3014,36,1,2,11,61,3,16,2022-08-30 17:28:20,2022-08-30 21:07:20,2022-08-30 22:35:20,12.990526,77.603756,"The accused refused to provide food and basic medicine to their dependent parents, causing severe deterioration. The offense occurred near a residential around 17:00 hours on Tuesday."
29,100220139202400001,202400001,2024-05-31,1010,139,1,2,9,51,5,72,2024-05-26 10:21:34,2024-05-26 13:27:34,2024-05-26 19:33:34,12.281538,76.631329,The accused organized a clandestine group in the forest outskirts to print and distribute leaflets calling for a boycott of public institutions. Evidence seized during the initial probe includes Surveillance Report. The incident was reported from a general/public place at 10:00 hours on Sunday.
30,100170110202500001,202500001,2025-06-16,2926,110,1,2,4,26,6,21,2025-06-10 13:36:43,2025-06-10 18:19:43,2025-06-11 16:54:43,17.30462,76.814024,"Police later collected CCTV Footage, DNA Swab and Guardian Statement Record as part of the case file. The suspects ran a racket procuring children from poor families and selling them to childless couples. The event transpired at a border-transit around 13:00 hours on Tuesday. The crime was committed by a single offender."
31,100100069202600001,202600001,2026-04-18,1353,69,1,1,8,48,2,121,2026-04-13 12:47:37,2026-04-13 14:54:37,2026-04-13 16:58:37,14.254798,76.408762,The suspect cultivated poppy plants on forest land bordering his agricultural property. The incident took place in a general/public place at 12:00 hours on Monday. A group of 3 individuals was involved in the offense. Forensic search and examination revealed Seized Narcotic Substance and Seizure Photograph at the scene.
32,100030020202600001,202600001,2026-05-30,153,20,1,2,13,67,3,45,2026-05-22 15:48:18,2026-05-22 18:37:18,2026-05-22 20:58:18,15.859547,74.455181,The offense occurred near a general/public place around 15:00 hours on Friday. The suspects were intercepted transporting bulk quantities of cheap liquor from the neighboring state. Key evidence collected includes Panchnama Report. The offense was carried out by 2 suspects acting together.
33,300120083202600001,202600001,2026-10-06,790,83,2,1,14,71,1,29,2026-10-05 12:36:38,2026-10-05 13:35:38,2026-10-06 16:34:38,14.500944,75.931494,A single individual executed the crime. The accused trafficked minor girls from rural areas and sold them to brothels in urban centres. The incident was reported from a border-transit at 12:00 hours on Monday. Investigators recovered Call Detail Record from the location.
34,100100066202200001,202200001,2022-05-10,576,66,1,2,12,65,2,123,2022-05-03 17:54:40,2022-05-04 01:38:40,2022-05-04 04:50:40,14.240952,76.41553,The accused tore official documents and threatened the public servant inside their office. The event transpired at a general/public place around 17:00 hours on Tuesday.
35,100090064202500001,202500001,2025-12-10,2882,64,1,1,4,24,2,80,2025-12-09 17:23:44,2025-12-09 19:28:44,2025-12-09 20:18:44,13.341001,75.750926,The accused physically branded the minor child with heated objects over minor mistakes. The incident took place in a residential at 17:00 hours on Tuesday. A group of 2 individuals was involved in the offense.
36,100220136202600001,202600001,2026-06-15,336,136,1,1,11,60,4,135,2026-06-10 23:35:58,2026-06-11 03:41:58,2026-06-12 05:24:58,12.349021,76.664596,The suspects promised to help the senior citizen withdraw their PF money and ran away with their credentials. The offense occurred near a general/public place around 23:00 hours on Wednesday. Investigation indicates the involvement of a single perpetrator. Forensic search and examination revealed CCTV Footage and Witness Statement Record at the scene.
37,100130087202200001,202200001,2022-07-17,228,87,1,2,12,64,5,117,2022-07-12 11:54:33,2022-07-12 15:45:33,2022-07-12 16:59:33,15.457643,75.030411,The incident was reported from a general/public place at 11:00 hours on Tuesday. The suspects forcefully entered the complainant's agricultural field and threatened the workers. Key evidence collected includes Seized Property List. A gang of 2 co-accused was implicated in this incident.
38,100040027202500001,202500001,2025-04-01,1934,27,1,2,7,43,6,9,2025-03-29 12:47:13,2025-03-29 17:48:13,2025-03-29 20:52:13,13.20375,77.591309,The accused created multiple social media handles to harass the victim and post offensive comments. The event transpired at a cyber-agnostic around 12:00 hours on Saturday. Investigators recovered IP Access Log and Screenshot Evidence from the location.
39,100080057202500001,202500001,2025-12-12,732,57,1,2,3,23,6,138,2025-12-07 14:58:24,2025-12-07 18:15:24,2025-12-07 19:13:24,13.435063,77.757606,The accused splashed a chemical substance on the victim's arm during a physical confrontation. Evidence seized during the initial probe includes Call Detail Record and Clothing Sample. The incident took place in a general/public place at 14:00 hours on Sunday.
40,800120078202500001,202500001,2025-12-15,2705,78,4,2,3,22,1,108,2025-12-11 18:52:14,2025-12-11 21:03:14,2025-12-12 00:42:14,14.468722,75.951337,"Police later collected CCTV Footage, Call Detail Record, Clothing Sample, DNA Swab and Medical Examination Report as part of the case file. The suspect made multiple fake profiles to stalk the victim's social media and track her locations. The offense occurred near a general/public place around 18:00 hours on Thursday. Investigation indicates the involvement of a single perpetrator."
41,100190121202200001,202200001,2022-08-23,960,121,1,1,1,4,6,82,2022-08-23 01:02:25,2022-08-23 04:51:25,2022-08-23 05:21:25,13.169294,78.172362,"The accused beat the victim with iron pipes over a financial dispute, causing multiple bone fractures in the limbs. The incident was reported from a general/public place at 01:00 hours on Tuesday. A gang of 2 co-accused was implicated in this incident. Forensic search and examination revealed Blood Sample, CCTV Footage and Weapon Recovery at the scene."
42,100170114202600001,202600001,2026-07-07,1306,114,1,2,13,68,5,107,2026-06-29 12:37:56,2026-06-29 18:58:56,2026-06-29 22:20:56,17.310651,76.849714,"The event transpired at a general/public place around 12:00 hours on Monday. The suspects were found operating a local gambling den behind the market area, recovering cash. The crime was committed by a single offender."
43,100120082202300001,202300001,2023-04-28,1843,82,1,2,5,32,2,95,2023-04-23 10:35:26,2023-04-23 14:13:26,2023-04-23 18:47:26,14.484729,75.926757,"The suspects blocked the public street by setting up unauthorized structures, obstructing traffic. The incident took place in a general/public place at 10:00 hours on Sunday. Investigators recovered CCTV Footage, Scene Photograph, Seized Weapon/Object and Video Recording from the location."
44,100030019202500001,202500001,2025-01-03,3090,19,1,2,12,63,2,123,2025-01-02 11:55:58,2025-01-02 14:50:58,2025-01-02 17:18:58,15.853052,74.494104,The suspect brandished a knife and threatened the complainant over a personal dispute. Evidence seized during the initial probe includes Scene Photograph and Seized Property List. The offense occurred near a general/public place around 11:00 hours on Thursday.
45,100280180202300001,202300001,2023-04-15,833,180,1,1,12,63,6,95,2023-04-12 16:23:32,2023-04-12 23:59:32,2023-04-13 03:57:32,14.777848,74.689316,"Police later collected Seized Property List as part of the case file. The accused made threatening phone calls to the victim, warning them of severe consequences. The incident was reported from a general/public place at 16:00 hours on Wednesday. A single individual executed the crime."
46,100090062202400001,202400001,2024-08-24,2002,62,1,1,1,4,4,126,2024-08-20 22:21:14,2024-08-21 01:40:14,2024-08-21 02:50:14,13.356869,75.80487,"A group of individuals cornered the victim and kicked them repeatedly, causing internal organ damage and severe trauma. The event transpired at a general/public place around 22:00 hours on Tuesday. The crime was committed by a single offender. Forensic search and examination revealed Blood Sample and CCTV Footage at the scene."
47,100140092202400002,202400002,2024-12-18,896,92,1,2,12,64,6,130,2024-12-12 18:53:54,2024-12-12 19:36:54,2024-12-13 03:29:54,15.456531,75.656094,"The incident took place in a general/public place at 18:00 hours on Thursday. The suspects crossed the compound wall of the complainant's residence during the night. Key evidence collected includes Scene Photograph, Seized Property List and Witness Statement Record. A lone suspect was involved in carrying out this offense."
48,100140090202400001,202400001,2024-05-01,610,90,1,1,1,8,6,62,2024-04-25 23:18:01,2024-04-26 03:40:01,2024-04-26 06:00:01,15.468219,75.635485,"Investigation indicates the involvement of a single perpetrator. The accused physically obstructed and assaulted the complainant in the market area, creating public nuisance. The offense occurred near a general/public place around 23:00 hours on Thursday. Investigators recovered Blood Sample, CCTV Footage, Fingerprint Lift and Post-Mortem Report from the location."
49,100050039202300001,202300001,2023-05-13,702,39,1,1,9,52,3,22,2023-05-07 15:14:19,2023-05-07 21:09:19,2023-05-07 21:42:19,12.97652,77.530971,The suspects received funds from foreign entities to coordinate subversive activities in the city. The incident was reported from a general/public place at 15:00 hours on Sunday.
50,100150098202600001,202600001,2026-02-17,2309,98,1,2,7,45,5,9,2026-02-10 08:55:44,2026-02-10 16:34:44,2026-02-10 21:14:44,13.0328,76.153074,Police later collected Server Log as part of the case file. The suspect created a profile in the name of a senior police officer and issued fake advisories. The event transpired at a cyber-agnostic around 08:00 hours on Tuesday. The crime was committed by a group of 2 co-offenders.
51,100050037202200001,202200001,2022-10-27,2479,37,1,1,14,72,1,102,2022-10-26 14:36:15,2022-10-26 19:31:15,2022-10-26 23:31:15,12.941163,77.624846,The suspect forced the victim to work in his dairy farm for no pay under threat of violence. The incident took place in a general/public place at 14:00 hours on Wednesday. A lone suspect was involved in carrying out this offense. Forensic search and examination revealed Scene Photograph and Victim Statement Record at the scene.
52,100300190202400001,202400001,2024-03-18,2916,190,1,2,6,34,6,40,2024-03-12 12:37:42,2024-03-12 15:56:42,2024-03-12 19:19:42,16.761667,77.16642,"The offense occurred near a market around 12:00 hours on Tuesday. The accused created a fake government website to collect application fees from job aspirants. Key evidence collected includes Audit Report, Bank Transaction Statement, Digital Ledger, Forged Document and Seized Financial Record. The offense was carried out by 2 suspects acting together."
53,100230146202300001,202300001,2023-05-09,1329,146,1,1,6,36,1,99,2023-05-08 09:27:28,2023-05-08 14:17:28,2023-05-09 05:25:28,16.238916,77.409299,A gang of 2 co-accused was implicated in this incident. The suspect created fake degree certificates and mark sheets to secure a government job. The incident was reported from a general/public place at 09:00 hours on Monday. Investigators recovered Digital Ledger from the location.
54,100010002202500001,202500001,2025-12-08,316,2,1,2,7,43,1,93,2025-12-05 18:10:08,2025-12-05 20:32:08,2025-12-06 04:44:08,16.152217,75.739661,"The suspect posted the victim's contact number on public forums with offensive descriptions, causing harassment. Evidence seized during the initial probe includes Bank Transaction Statement and Call Detail Record. The event transpired at a cyber-agnostic around 18:00 hours on Friday."
55,100070050202200002,202200002,2022-04-13,2848,50,1,1,4,27,5,52,2022-04-09 13:21:28,2022-04-09 16:17:28,2022-04-09 17:08:28,11.94146,76.897223,"Police later collected CCTV Footage, DNA Swab and Medical Examination Report as part of the case file. The accused took the minor child to another town without the parents' consent or knowledge. The incident took place in a general/public place at 13:00 hours on Saturday. A lone suspect was involved in carrying out this offense."
56,400140093202500001,202500001,2025-06-19,3145,93,3,1,3,20,4,7,2025-06-18 01:17:52,2025-06-18 08:04:52,2025-06-19 07:24:52,15.425428,75.599434,The victim was subjected to physical abuse and locked in a room by her husband over domestic disputes. The offense occurred near a residential around 01:00 hours on Wednesday. Investigation indicates the involvement of a single perpetrator.
57,100300187202500001,202500001,2025-10-26,2385,187,1,1,8,47,5,103,2025-10-20 14:19:15,2025-10-20 16:33:15,2025-10-22 12:23:15,16.73007,77.15978,"The incident was reported from a highway at 14:00 hours on Monday. The suspects ran a network distributing synthetic drugs to college students via local couriers. Key evidence collected includes Chemical Analysis Report, Seized Narcotic Substance, Seizure Photograph and Weighment Report. A gang of 2 co-accused was implicated in this incident."
58,100160105202300001,202300001,2023-11-18,1764,105,1,2,14,73,1,28,2023-11-13 17:15:42,2023-11-13 23:00:42,2023-11-14 20:15:42,14.757854,75.371451,"The crime was committed by a single offender. The suspects forged consent letters to perform illegal kidney transplantations for wealthy clients. The event transpired at a border-transit around 17:00 hours on Monday. Investigators recovered Rescue Report, Scene Photograph, Travel Document and Victim Statement Record from the location."
59,100010002202400001,202400001,2024-07-15,352,2,1,2,5,30,1,30,2024-07-12 13:43:37,2024-07-12 19:41:37,2024-07-12 23:41:37,16.162927,75.679362,"A group of individuals gathered with weapons near the temple, planning a confrontation. Evidence seized during the initial probe includes CCTV Footage, Scene Photograph, Seized Weapon/Object and Video Recording. The incident took place in a general/public place at 13:00 hours on Friday."
60,100260163202500001,202500001,2025-07-12,1356,163,1,1,12,63,6,110,2025-07-10 15:44:28,2025-07-10 18:32:28,2025-07-10 21:16:28,13.369018,77.071559,"Police later collected Scene Photograph as part of the case file. The accused made threatening phone calls to the victim, warning them of severe consequences. The offense occurred near a general/public place around 15:00 hours on Thursday. Investigation indicates the involvement of a single perpetrator."
61,100300187202500002,202500002,2025-05-24,2200,187,1,1,4,27,6,48,2025-05-22 17:27:24,2025-05-22 17:34:24,2025-05-22 19:13:24,16.732636,77.163812,"The accused took the minor child to another town without the parents' consent or knowledge. The incident was reported from a general/public place at 17:00 hours on Thursday. A single individual executed the crime. Forensic search and examination revealed CCTV Footage, DNA Swab, Guardian Statement Record and Medical Examination Report at the scene."
62,100110074202400002,202400002,2024-12-11,2753,74,1,2,4,27,2,35,2024-12-06 17:37:07,2024-12-06 20:40:07,2024-12-06 21:22:07,12.874966,74.83803,The event transpired at a general/public place around 17:00 hours on Friday. The accused took the minor child to another town without the parents' consent or knowledge. Key evidence collected includes DNA Swab and Medical Examination Report. The crime was committed by a group of 2 co-offenders.
63,100090062202200001,202200001,2022-05-20,767,62,1,2,4,26,6,81,2022-05-11 10:31:40,2022-05-11 15:11:40,2022-05-13 15:14:40,13.353455,75.795379,A lone suspect was involved in carrying out this offense. The accused trafficked minor girls from rural areas by promising them jobs in the city. The incident took place in a border-transit at 10:00 hours on Wednesday.
64,100260166202400001,202400001,2024-03-13,3042,166,1,2,10,54,2,127,2024-03-06 16:31:26,2024-03-06 22:39:26,2024-03-07 06:27:26,13.296545,77.084971,"The accused rode the motorcycle recklessly, performing stunts and crashing into a pedestrian. Evidence seized during the initial probe includes Breath Analyzer Report. The offense occurred near a transit-bus-stop around 16:00 hours on Wednesday."
65,100160108202600001,202600001,2026-07-13,357,108,1,2,2,10,1,113,2026-07-09 17:27:06,2026-07-09 23:48:06,2026-07-10 02:17:06,14.765459,75.35509,"Police later collected Tool Mark Analysis as part of the case file. The suspects cornered the victim near an ATM, threatened them with a weapon, and forced them to withdraw cash. The incident was reported from a market at 17:00 hours on Thursday."
66,100270169202500001,202500001,2025-11-20,2884,169,1,2,2,12,3,75,2025-11-11 04:08:50,2025-11-11 05:58:50,2025-11-12 13:10:50,13.37026,74.780066,"The perpetrators gained entry by forcing open the rear kitchen window during the night while the owners were asleep. The event transpired at a residential around 04:00 hours on Tuesday. The crime was committed by a group of 3 co-offenders. Forensic search and examination revealed Recovered Stolen Property, Scene Photograph and Tool Mark Analysis at the scene."
67,800090058202200001,202200001,2022-12-26,2770,58,4,2,5,33,2,101,2022-12-25 14:55:41,2022-12-25 16:04:41,2022-12-25 22:36:41,13.342993,75.758249,"The incident took place in a general/public place at 14:00 hours on Sunday. A group of individuals attacked shops belonging to a specific community, escalating local tension. Key evidence collected includes CCTV Footage, Scene Photograph, Seized Weapon/Object and Video Recording. A group of 2 individuals was involved in the offense."
68,100150095202200001,202200001,2022-10-25,382,95,1,2,10,56,2,118,2022-10-20 09:17:44,2022-10-20 16:51:44,2022-10-20 19:47:44,13.006236,76.13276,"The suspect drove the vehicle in a zig-zag manner under the influence of alcohol, endangering public safety. The offense occurred near a transit-bus-stop around 09:00 hours on Thursday. Investigators recovered Breath Analyzer Report, CCTV Footage, Mechanical Inspection Report and Vehicle Damage Report from the location."
69,100190124202300001,202300001,2023-12-27,189,124,1,2,12,64,6,26,2023-12-19 11:53:18,2023-12-19 14:50:18,2023-12-19 19:17:18,13.138682,78.107715,"The suspects forcefully entered the complainant's agricultural field and threatened the workers. Evidence seized during the initial probe includes Scene Photograph, Seized Property List and Witness Statement Record. The incident was reported from a general/public place at 11:00 hours on Tuesday."
70,100190124202200001,202200001,2022-06-14,2974,124,1,2,14,73,3,60,2022-06-12 11:19:10,2022-06-12 18:51:10,2022-06-14 14:14:10,13.112111,78.08388,"The accused lured the victim with money, took them to another city, and extracted their organ illegally. The event transpired at a border-transit around 11:00 hours on Sunday. The crime was committed by a group of 4 co-offenders."
71,100130085202200001,202200001,2022-03-22,1226,85,1,2,2,10,3,36,2022-03-21 20:21:52,2022-03-21 21:27:52,2022-03-21 21:47:52,15.462653,75.053725,The accused threatened the shopkeeper with a gun and looted cash from the register before escaping. The incident took place in a market at 20:00 hours on Monday. A lone suspect was involved in carrying out this offense. Forensic search and examination revealed Scene Photograph at the scene.
72,100110077202200001,202200001,2022-07-20,412,77,1,2,14,71,5,36,2022-07-14 18:46:13,2022-07-15 00:12:13,2022-07-17 08:28:13,12.875763,74.860619,The offense occurred near a border-transit around 18:00 hours on Thursday. The suspects forced the victim into commercial sex and kept her documents to prevent escape. Key evidence collected includes Rescue Report and Scene Photograph. Investigation indicates the involvement of a single perpetrator.
73,100230148202600001,202600001,2026-04-21,773,148,1,2,10,57,1,101,2026-04-17 23:38:46,2026-04-18 04:54:46,2026-04-18 12:44:46,16.218743,77.343032,A gang of 2 co-accused was implicated in this incident. The suspects lifted a parked delivery van during the early hours of the morning and fled. The incident was reported from a market at 23:00 hours on Friday. Investigators recovered Breath Analyzer Report and Vehicle Damage Report from the location.
74,100090058202400001,202400001,2024-08-17,1074,58,1,1,1,4,3,56,2024-08-11 19:08:24,2024-08-12 02:33:24,2024-08-12 03:39:24,13.296756,75.718348,"A group of individuals cornered the victim and kicked them repeatedly, causing internal organ damage and severe trauma. Evidence seized during the initial probe includes Fingerprint Lift and Medical Examination Report. The event transpired at a general/public place around 19:00 hours on Sunday."
75,100020009202400001,202400001,2024-05-23,1339,9,1,2,1,7,4,101,2024-05-17 14:34:39,2024-05-17 15:57:39,2024-05-17 18:15:39,15.108577,76.867819,"Police later collected Blood Sample, Medical Examination Report and Post-Mortem Report as part of the case file. A group of individuals forcefully took the victim away from their office to settle an outstanding business debt. The incident took place in a general/public place at 14:00 hours on Friday. A lone suspect was involved in carrying out this offense."
